Geographic_Region,Region,Subregion,Country_Area,GT_Score,Population_Average
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Burundi,n/a,9480.943
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Comoros,n/a,735.68275
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Djibouti,n/a,879.94625
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Eritrea,n/a,3236.257625
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Ethiopia,4,94672.03163
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Kenya,4,45020.93606
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Madagascar,21,22789.444
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Malawi,n/a,15709.17219
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Mauritius,21,1251.688563
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Mayotte,n/a,224.6718125
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Mozambique,6,25467.86106
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Réunion,35,846.0005625
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Rwanda,n/a,10758.88125
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Seychelles,n/a,93.3224375
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Somalia,n/a,12996.56719
Africa,SUB-SAHARAN AFRICA,Eastern Africa,S. Sudan,n/a,9855.688563
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Uganda,4,35777.23388
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Tanzania,3,48273.14319
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Zambia,4,14856.88756
Africa,SUB-SAHARAN AFRICA,Eastern Africa,Zimbabwe,5,13316.73181
Africa,SUB-SAHARAN AFRICA,Middle Africa,Angola,8,25774.13475
Africa,SUB-SAHARAN AFRICA,Middle Africa,Cameroon,4,21915.71994
Africa,SUB-SAHARAN AFRICA,Middle Africa,Central African Rep.,n/a,4436.7235
Africa,SUB-SAHARAN AFRICA,Middle Africa,Chad,n/a,13102.32719
Africa,SUB-SAHARAN AFRICA,Middle Africa,Congo,5,4564.386
Africa,SUB-SAHARAN AFRICA,Middle Africa,Dem. Rep. Congo,2,70937.24294
Africa,SUB-SAHARAN AFRICA,Middle Africa,Eq. Guinea,n/a,1062.013063
Africa,SUB-SAHARAN AFRICA,Middle Africa,Gabon,9,1792.375625
Africa,SUB-SAHARAN AFRICA,Middle Africa,São Tomé and Principe,n/a,189.2825625
Africa,SUB-SAHARAN AFRICA,Southern Africa,Botswana,9,2060.495125
Africa,SUB-SAHARAN AFRICA,Southern Africa,eSwatini,n/a,1087.635125
Africa,SUB-SAHARAN AFRICA,Southern Africa,Lesotho,6,2039.875063
Africa,SUB-SAHARAN AFRICA,Southern Africa,Namibia,8,2223.572688
Africa,SUB-SAHARAN AFRICA,Southern Africa,South Africa,13,53393.39063
Africa,SUB-SAHARAN AFRICA,Western Africa,Benin,6,9938.057125
Africa,SUB-SAHARAN AFRICA,Western Africa,Burkina Faso,2,16948.59294
Africa,SUB-SAHARAN AFRICA,Western Africa,Cabo Verde,18,509.0381875
Africa,SUB-SAHARAN AFRICA,Western Africa,Côte d'Ivoire,5,22027.48488
Africa,SUB-SAHARAN AFRICA,Western Africa,Gambia,n/a,1952.00325
Africa,SUB-SAHARAN AFRICA,Western Africa,Ghana,5,26349.92831
Africa,SUB-SAHARAN AFRICA,Western Africa,Guinea,n/a,10906.45356
Africa,SUB-SAHARAN AFRICA,Western Africa,Guinea-Bissau,n/a,1637.9495
Africa,SUB-SAHARAN AFRICA,Western Africa,Liberia,n/a,4162.425375
Africa,SUB-SAHARAN AFRICA,Western Africa,Mali,3,16322.257
Africa,SUB-SAHARAN AFRICA,Western Africa,Mauritania,n/a,3790.446438
Africa,SUB-SAHARAN AFRICA,Western Africa,Niger,n/a,18438.71188
Africa,SUB-SAHARAN AFRICA,Western Africa,Nigeria,4,170624.6567
Africa,SUB-SAHARAN AFRICA,Western Africa,Saint Helena,13,5.5808125
Africa,SUB-SAHARAN AFRICA,Western Africa,Senegal,4,13716.01969
Africa,SUB-SAHARAN AFRICA,Western Africa,Sierra Leone,n/a,6804.559688
